                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.83682,                 1.2436,                0.87191,                 0.7106,                0.92494,                0.92481,                0.74681,                0.76449,                0.64262,                0.85173,              0.0004656,              0.0004656,              0.0004656
                     63,                0.88548,                 1.0344,                0.87884,                0.72416,                0.92525,                0.91843,                0.72529,                0.77242,                0.68502,                0.84986,              0.0004623,              0.0004623,              0.0004623
                     64,                0.91624,                 1.2939,                0.91248,                0.76261,                0.91031,                0.91925,                 0.7227,                0.77891,                 0.6907,                0.85262,               0.000459,               0.000459,               0.000459
                     65,                0.86885,                 1.3201,                0.88558,                0.71617,                0.93178,                0.92083,                0.72772,                0.77801,                0.66507,                0.85345,             0.00045569,             0.00045569,             0.00045569
                     66,                0.82154,                 1.0192,                0.86155,                 0.7242,                0.94116,                0.93152,                0.73065,                0.78515,                0.66821,                0.85489,             0.00045239,             0.00045239,             0.00045239
                     67,                0.83576,                0.99255,                0.85279,                0.73348,                0.94116,                0.93359,                0.73315,                 0.7812,                0.65369,                 0.8552,             0.00044909,             0.00044909,             0.00044909
                     68,                0.90627,                 1.1151,                0.88307,                0.70411,                0.96266,                0.93232,                0.73616,                0.77408,                 0.6323,                0.85406,             0.00044579,             0.00044579,             0.00044579
                     69,                0.85842,                0.92111,                0.86457,                0.71416,                0.97071,                0.93798,                0.74165,                0.77095,                0.61443,                0.85156,             0.00044249,             0.00044249,             0.00044249
                     70,                0.86205,                 1.0627,                0.85366,                0.75193,                0.96094,                0.94833,                0.73873,                0.77944,                 0.6212,                0.85272,             0.00043919,             0.00043919,             0.00043919
                     71,                0.85734,                 1.1066,                0.83809,                0.83468,                0.93418,                0.95149,                 0.7233,                0.77893,                0.64244,                0.85179,             0.00043588,             0.00043588,             0.00043588
                     72,                0.87071,                 1.0763,                 0.8751,                0.85887,                0.93059,                0.96566,                0.71564,                0.77123,                0.65007,                0.84918,             0.00043258,             0.00043258,             0.00043258
                     73,                 0.8053,                 1.0626,                0.85473,                0.84165,                 0.9356,                0.96663,                0.72154,                0.77702,                0.61595,                0.85138,             0.00042928,             0.00042928,             0.00042928
                     74,                0.84224,                0.92444,                0.87117,                0.77683,                0.93832,                0.96728,                0.72558,                0.77817,                0.59789,                0.85269,             0.00042598,             0.00042598,             0.00042598
                     75,                0.78524,                0.89775,                0.86454,                 0.7562,                0.93742,                0.96949,                0.76153,                0.76413,                0.58948,                0.85036,             0.00042268,             0.00042268,             0.00042268
                     76,                0.81605,                0.92147,                0.83344,                0.79367,                 0.9446,                0.97243,                0.76127,                0.76342,                0.57945,                0.85016,             0.00041938,             0.00041938,             0.00041938
                     77,                0.88088,                 0.9685,                0.88717,                 0.7936,                0.95095,                0.97328,                0.75987,                0.76241,                0.59424,                0.85019,             0.00041607,             0.00041607,             0.00041607
                     78,                0.88811,                 1.0731,                0.86134,                0.83018,                0.95045,                0.97236,                0.76387,                 0.7619,                0.62373,                0.85009,             0.00041277,             0.00041277,             0.00041277
                     79,                0.83025,                 1.0252,                0.86141,                0.79821,                0.92058,                0.97016,                 0.7674,                0.77855,                0.65444,                0.85174,             0.00040947,             0.00040947,             0.00040947
                     80,                0.78796,                 1.0625,                0.86979,                 0.8036,                0.93886,                0.96945,                0.76856,                 0.8002,                0.62178,                0.85678,             0.00040617,             0.00040617,             0.00040617
                     81,                0.83053,                0.93186,                0.85721,                0.87944,                 0.9219,                0.97441,                0.76734,                0.79767,                0.59408,                 0.8572,             0.00040287,             0.00040287,             0.00040287
                     82,                  0.884,                 1.1403,                0.89475,                0.82989,                0.96264,                0.97279,                0.76278,                0.77443,                0.59906,                0.85431,             0.00039957,             0.00039957,             0.00039957
                     83,                0.78211,                0.97617,                0.87667,                0.80248,                0.96064,                0.97072,                0.75267,                0.76791,                0.59926,                0.85121,             0.00039626,             0.00039626,             0.00039626
                     84,                0.87352,                 0.9122,                0.88229,                0.80777,                0.94798,                0.96827,                 0.7586,                0.76565,                0.60259,                0.85047,             0.00039296,             0.00039296,             0.00039296
                     85,                0.85107,                 1.0668,                 0.8919,                0.85367,                0.96944,                0.97013,                0.76809,                0.75665,                0.59348,                0.84814,             0.00038966,             0.00038966,             0.00038966
                     86,                0.77131,                0.89538,                0.87907,                0.86449,                0.90337,                0.95422,                 0.7434,                 0.7515,                0.62455,                0.84849,             0.00038636,             0.00038636,             0.00038636
                     87,                0.80593,                 0.8924,                0.86925,                0.85508,                0.88035,                0.94199,                0.73952,                0.74747,                0.61856,                0.84859,             0.00038306,             0.00038306,             0.00038306
                     88,                0.83217,                 1.1417,                 0.8744,                0.90623,                0.89327,                0.95736,                0.75416,                0.73724,                0.56135,                0.84449,             0.00037976,             0.00037976,             0.00037976
                     89,                0.83215,                0.85893,                0.85338,                0.89516,                0.94447,                0.95818,                0.74981,                0.74468,                0.54574,                0.84445,             0.00037645,             0.00037645,             0.00037645
                     90,                0.89845,                0.99065,                0.84829,                0.91323,                0.94234,                0.96021,                0.75293,                0.75119,                0.55193,                0.84542,             0.00037315,             0.00037315,             0.00037315
                     91,                0.82248,                0.91409,                0.83801,                0.89977,                0.93905,                0.97898,                0.78113,                0.75386,                0.55463,                0.84521,             0.00036985,             0.00036985,             0.00036985
                     92,                0.82512,                0.93465,                0.89051,                0.82657,                0.95284,                0.98199,                0.78523,                 0.7496,                0.57843,                0.84452,             0.00036655,             0.00036655,             0.00036655
                     93,                0.87229,                0.94131,                0.86387,                 0.8483,                0.93737,                0.98174,                0.78937,                0.75347,                  0.561,                0.84556,             0.00036325,             0.00036325,             0.00036325
                     94,                0.87349,                0.90687,                0.86241,                0.83971,                0.95069,                0.97719,                0.76955,                0.75352,                0.54087,                0.84598,             0.00035995,             0.00035995,             0.00035995
                     95,                0.82112,                0.86578,                0.85789,                 0.8461,                0.94616,                 0.9748,                0.76055,                0.74805,                0.53382,                0.84671,             0.00035664,             0.00035664,             0.00035664
                     96,                0.82275,                0.81499,                 0.8342,                  0.837,                 0.9692,                0.97435,                 0.7617,                0.74796,                0.53401,                0.84723,             0.00035334,             0.00035334,             0.00035334
                     97,                0.83393,                0.88847,                0.84967,                0.91858,                0.91309,                0.97719,                0.77057,                0.73676,                0.51079,                0.84465,             0.00035004,             0.00035004,             0.00035004
                     98,                0.89953,                0.92152,                0.85093,                0.92253,                0.91281,                0.97814,                0.77618,                 0.7272,                0.51027,                0.84307,             0.00034674,             0.00034674,             0.00034674
                     99,                0.91619,                0.86191,                0.84969,                0.87551,                0.95746,                0.97741,                0.77558,                0.72574,                0.52576,                0.84166,             0.00034344,             0.00034344,             0.00034344
                    100,                0.78848,                0.90486,                0.84296,                0.91574,                0.89804,                0.97628,                0.78263,                0.72372,                0.53653,                0.84288,             0.00034014,             0.00034014,             0.00034014
                    101,                0.77173,                0.85439,                0.85625,                0.95012,                0.88138,                0.98006,                0.79391,                0.72764,                0.52686,                0.84396,             0.00033683,             0.00033683,             0.00033683
                    102,                0.86885,                0.85621,                0.85694,                0.93384,                0.92034,                0.98193,                0.79449,                0.72154,                 0.4991,                0.84194,             0.00033353,             0.00033353,             0.00033353
                    103,                0.79816,                0.80026,                0.84152,                 0.9078,                0.95234,                0.98273,                0.79414,                0.71851,                0.48481,                0.84097,             0.00033023,             0.00033023,             0.00033023
                    104,                0.75347,                0.85306,                0.85291,                0.90575,                0.95242,                 0.9805,                0.78766,                0.72666,                0.49732,                0.84373,             0.00032693,             0.00032693,             0.00032693
                    105,                0.80983,                0.91591,                0.86847,                0.92253,                0.95574,                0.98005,                0.77588,                0.73178,                0.50813,                0.84491,             0.00032363,             0.00032363,             0.00032363
                    106,                0.80508,                0.86542,                0.84899,                0.87214,                0.96488,                0.98157,                0.77924,                0.72551,                0.51179,                 0.8449,             0.00032033,             0.00032033,             0.00032033
                    107,                0.80067,                0.87879,                0.84846,                0.81145,                0.97924,                0.98489,                0.78545,                0.73443,                 0.5184,                0.84525,             0.00031703,             0.00031703,             0.00031703
                    108,                0.77269,                0.80706,                0.84706,                0.91731,                0.88457,                0.98381,                0.79373,                0.73437,                  0.512,                0.84502,             0.00031372,             0.00031372,             0.00031372
                    109,                 0.7906,                0.82146,                0.86003,                0.94734,                0.85204,                0.98232,                 0.8031,                0.73257,                0.50419,                0.84419,             0.00031042,             0.00031042,             0.00031042
                    110,                0.73978,                0.75843,                0.83807,                0.76535,                 0.9899,                0.98182,                0.79886,                0.73511,                0.50634,                0.84369,             0.00030712,             0.00030712,             0.00030712
                    111,                0.80278,                0.81017,                0.82253,                0.89232,                0.95957,                0.97925,                0.79886,                0.73919,                0.52839,                0.84408,             0.00030382,             0.00030382,             0.00030382
                    112,                0.78128,                0.84474,                0.87355,                0.91079,                0.92235,                0.97792,                0.77098,                0.73658,                 0.5482,                0.84282,             0.00030052,             0.00030052,             0.00030052
                    113,                0.74461,                0.85569,                0.84722,                0.94028,                0.90474,                0.97871,                0.76331,                0.72177,                0.53969,                0.84077,             0.00029722,             0.00029722,             0.00029722
                    114,                 0.7518,                0.76214,                0.85339,                0.91504,                0.91561,                0.97952,                0.76494,                0.72112,                0.51913,                0.84094,             0.00029391,             0.00029391,             0.00029391
                    115,                0.80203,                0.86765,                0.87632,                0.89671,                0.94481,                0.98256,                  0.765,                 0.7215,                 0.5173,                0.84181,             0.00029061,             0.00029061,             0.00029061
                    116,                0.77842,                0.75088,                0.82112,                0.88908,                0.96943,                0.98379,                0.77775,                0.72003,                0.50666,                0.84218,             0.00028731,             0.00028731,             0.00028731
